U_365/V,I_365/nA,U_405/V,I_405/nA,U_436/V,I_436/nA,U_546/V,I_546/nA,U_577/V,I_577/nA
-1.9,-0.0025,-1.9,-0.0016,-1.9,-0.0031,-1.9,-0.0003,-1.9,-0.0002
-1.8,-0.0016,-1.8,-0.0014,-1.8,-0.003,-1.8,-0.0003,-1.8,-0.0002
-1.7,-0.0002,-1.7,-0.0012,-1.7,-0.0029,-1.7,-0.0003,-1.7,-0.0002
-1.6,0.0041,-1.6,-0.0007,-1.6,-0.0028,-1.6,-0.0003,-1.6,-0.0002
-1.5,0.0101,-1.5,0,-1.5,-0.0026,-1.5,-0.0003,-1.5,-0.0002
-1.4,0.019,-1.4,0.0013,-1.4,-0.0023,-1.4,-0.0003,-1.4,-0.0002
-1.3,0.0302,-1.3,0.0038,-1.3,-0.0017,-1.3,-0.0003,-1.3,-0.0002
-1.2,0.0412,-1.2,0.0085,-1.2,0.0001,-1.2,-0.0003,-1.2,-0.0002
-1.1,0.0518,-1.1,0.0149,-1.1,0.0049,-1.1,-0.0003,-1.1,-0.0002
-1,0.0628,-1,0.0219,-1,0.016,-1,-0.0003,-1,-0.0002
-0.9,0.0722,-0.9,0.029,-0.9,0.0303,-0.9,-0.0002,-0.9,-0.0002
-0.8,0.0817,-0.8,0.0362,-0.8,0.0476,-0.8,-0.0002,-0.8,-0.0001
-0.7,0.0917,-0.7,0.0438,-0.7,0.063,-0.7,-0.0001,-0.7,-0.0001
-0.6,0.1022,-0.6,0.0511,-0.6,0.0778,-0.6,0.0006,-0.6,0
-0.5,0.1123,-0.5,0.059,-0.5,0.0912,-0.5,0.0024,-0.5,0.0003
-0.4,0.122,-0.4,0.0672,-0.4,0.1047,-0.4,0.0049,-0.4,0.0015
-0.3,0.1336,-0.3,0.0749,-0.3,0.1197,-0.3,0.0076,-0.3,0.0033
-0.2,0.147,-0.2,0.0832,-0.2,0.1343,-0.2,0.01,-0.2,0.0052
-0.1,0.1592,-0.1,0.092,-0.1,0.1466,-0.1,0.0124,-0.1,0.0066
0,0.17,0,0.1,0,0.16,0,0.02,0,0.009
